college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
kankai multiple campus,surunga kankai jhapa,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed bachelor of arts ba master of education general med master of business studies mbs ten plus two 2 humanities 2 humanities,community institution,023550153,kanakaicampus47gmailcom,24,1,899
kolhuwa multiple campus,kolhuwa5 kolhuwa madhyabindu nawalpur,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,523
daunedevi multiple campus,bardaghat bardaghat parasi,tribhuvan university,bachelor of business studies bbs bachelor of education bed,community institution,,,34,1,81
mangala shiksha campus,babiyachour5 babiyachour mangala myagdi,tribhuvan university,bachelor of education bed,community institution,,,34,1,30
shahid smarak college,kirtipur kathmandu,national examinations board,bachelor of arts ba bachelor of business studies bbs ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement bachelor of computer application bca bachelor of arts in social work basw,community institution,01333937 014330279,infosscollegecomnp,24,1,515
budhanilkantha campus,narayansthan budhanilakantha kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba,community institution,01 4370296  01 4379576,infobudhanilkanthahigheredunp,34,1,664
bagmati community campus,shantinagar kathmandu,tribhuvan university,bachelor of education bed,community institution,,,34,1,843
chiran milan bishwa shanti campus,bansbari kapanmarg kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement bachelor of arts ba bachelor of business studies bbs,community institution,014017015,cmbscampusyahoocom,24,1,78
sahayogi multiple campus,gokarna gokarneshwar kathmandu,tribhuvan university,bachelor of business studies bbs,community institution,,,34,1,373
ganeshman singh multiple campus,kalimati kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed bachelor of arts ba bachelor of computer application bca,community institution,014275240  014234240,,24,1,467
gp koirala memorial college,siphal chabhil kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed master of business studies mbs bachelor of arts in social work basw bachelor of computer application bca,community institution,014479115  014482404,gpkoiralacollegegmailcom,34,1,868
jitpurphedi multiple campus,jitpurphedi tarakeshwor kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs,community institution,,,34,1,444
janagyankunj campus,chhedagad jajarkot,tribhuvan university,bachelor of education bed,community institution,,,34,1,235
kathmandu shiksha multiple campus,satungal kathmandu,national examinations board,bachelor of education bed bachelor of computer application bca bachelor of business studies bbs one year bachelor of education bed master of education general med master of business studies mbs ten plus two 2 education 2 education,community institution,014230240,kscrmc13gmailcom,24,1,827
ekatappa multiple campus,fakphokthum ilam,tribhuvan university,bachelor of education bed,community institution,,,34,1,328
mangalodaya multiple campus,thankot chandragiri kathmandu,national examinations board,ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement bachelor of business studies bbs bachelor of arts ba master of business studies mbs,community institution,014312101,campusmangalodayagmailcom,24,1,928
mangal multiple campus,kirtipur10 kirtipur kathmandu,tribhuvan university,bachelor of education bed bachelor of business studies bbs,community institution,014330544 014335560,,34,1,518
nepal rastriya nr college,manmaiju tarakeshwor kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of arts ba bachelor of education bed master of business studies mbs,community institution,014350469 4366262,,34,1,619
makwanpur multiple campus,hetauda2 hetauda makwanpur,national examinations board,bachelor of business administration bba bachelor of education bed bachelor of arts ba bachelor of business studies bbs bsc physics bachelor of business management bbm ma in english ma english master of business studies mbs ma in sociology ma in anthropology ma anthropology bachelor of education in information communication technology bicte,community institution,057520620 057521867 057 523762,mmcntcnetnp,24,1,408
